$cid,CCTVID,LinkID,LookingViews_bearing,LookingViews_image,VideoStreamURL,VideoImageURL,ImageRefreshRate,LocationType,PositionLon,PositionLat,RoadID,RoadName,RoadClass,RoadDirection,RoadSection_Start,RoadSection_End,LocationMile,LayoutMapURL,SubAuthorityCode,Version
1,CCTV-N1-S-0.01-M,,,,,,,0,121.73556,25.122778,,,,,基隆端,基隆交流道,0K+010,,NFB-NR,
2,CCTV-N1-S-0.07-M,0000100000000C,,,,,,0,121.734985,25.12189,000010,國道1號,0,0,基隆端,基隆交流道,0K+070,,NFB-NR,
3,CCTV-N1-S-0.1-M,0000100000000C,,,,,,0,121.734535,25.121284,000010,國道1號,0,0,基隆端,基隆交流道,0K+100,,NFB-NR,
4,CCTV-N1-S-0.25-M,0000100000000C,,,,,,0,121.733376,25.120106,000010,國道1號,0,0,基隆端,基隆交流道,0K+250,,NFB-NR,
5,CCTV-N1-S-0.3-M,0000100000000C,,,,,,0,121.733086,25.119884,000010,國道1號,0,0,基隆端,基隆交流道,0K+300,,NFB-NR,
6,CCTV-N1-S-0.7-M,,,,,,,0,121.73556,25.117607,,,,,基隆端,基隆交流道,0K+700,,NFB-NR,
7,CCTV-N1-S-1-M,0000100000080C,,,,,,0,121.728615,25.115833,000010,國道1號,0,0,基隆端,基隆交流道,1K+000,,NFB-NR,
8,CCTV-N1-S-2.8-M,,,,,,,0,121.728836,25.104769,,,,,八堵交流道,大華系統交流道,2K+800,,NFB-NR,
9,CCTV-N1-S-3.9-M,0000100000300C,,,,,,0,121.70883,25.100252,000010,國道1號,0,0,八堵交流道,大華系統交流道,3K+900,,NFB-NR,
10,CCTV-N1-S-4.57-M,0000100000400C,,,,,,0,121.70361,25.0975,000010,國道1號,0,0,八堵交流道,大華系統交流道,4K+570,,NFB-NR,
11,CCTV-N1-S-4.9-M,,,,,,,0,121.69972,25.097778,,,,,八堵交流道,大華系統交流道,4K+900,,NFB-NR,
12,CCTV-N1-S-6.85-M,0000100000680C,,,,,,0,121.68694,25.086945,000010,國道1號,0,0,五堵交流道,汐止交流道,6K+850,,NFB-NR,
13,CCTV-N1-S-8-M,0000100000790C,,,,,,0,121.67555,25.085556,000010,國道1號,0,0,五堵交流道,汐止交流道,8K+000,,NFB-NR,
14,CCTV-N1-S-8.8-M,0000100000840F,,,,,,0,121.668655,25.081947,000010,國道1號,0,0,五堵交流道,汐止交流道,8K+800,,NFB-NR,
15,CCTV-N1-S-9.075-M,0000100000900F,,,,,,0,121.66461,25.07935,000010,國道1號,0,0,五堵交流道,汐止交流道,9K+075,,NFB-NR,
16,CCTV-N1-S-11.55-M,,,,,,,0,121.64389,25.072779,,,,,汐止系統交流道,高架汐止端,11K+550,,NFB-NR,
17,CCTV-N1-S-13-M,0000100001280F,,,,,,0,121.63111,25.06722,000010,國道1號,0,0,汐止系統交流道,高架汐止端,13K+000,,NFB-NR,
18,CCTV-N1-S-22.9-M,0000100002200A,,,,,,0,121.53438,25.072824,000010,國道1號,0,0,內湖交流道,圓山交流道,22K+900,,NFB-NR,
19,CCTV-N1-S-23.33-M,,,,,,,0,121.532,25.072971,,,,,圓山交流道,台北交流道,23K+330,,NFB-NR,
20,CCTV-N1-S-27.01-M,0000100002660F,,,,,,0,121.496284,25.076418,000010,國道1號,0,0,台北交流道,三重交流道,27K+010,,NFB-NR,
21,CCTV-N1-S-32.7-M,,,,,,,0,121.44078,25.0697,,,,,五股轉接道交流道,五股交流道,32K+700,,NFB-NR,
22,CCTV-N1-S-32.98-M,,,,,,,0,121.43683,25.07039,,,,,五股轉接道交流道,五股交流道,32K+980,,NFB-NR,
23,CCTV-N1-S-33.8-M,,,,,,,0,121.42998,25.06861,,,,,五股交流道,高公局交流道,33K+800,,NFB-NR,
24,CCTV-N1-S-34.02-M,0000100003400F,,,,,,0,121.42771,25.068138,000010,國道1號,0,0,五股交流道,高公局交流道,34K+020,,NFB-NR,
25,CCTV-N1-S-34.4-M,0000100003400F,,,,,,0,121.42483,25.066692,000010,國道1號,0,0,高公局交流道,泰山轉接道交流道,34K+400,,NFB-NR,
26,CCTV-N1-S-35.16-M,0000100003500F,,,,,,0,121.41791,25.063253,000010,國道1號,0,0,高公局交流道,泰山轉接道交流道,35K+160,,NFB-NR,
27,CCTV-N1-S-36.12-M,0000100003520F,,,,,,0,121.41048,25.058725,000010,國道1號,0,0,泰山轉接道交流道,林口交流道,36K+120,,NFB-NR,
28,CCTV-N1-S-38.25-M,0000100003800F,,,,,,0,121.3933,25.062868,000010,國道1號,0,0,泰山轉接道交流道,林口交流道,38K+250,,NFB-NR,
29,CCTV-N1-S-40.83-M,,,,,,,0,121.36885,25.06565,,,,,泰山轉接道交流道,林口交流道,40K+830,,NFB-NR,
