dbId,domainId,eqId,freewayId,latitude,locationId,longitude,mainDirection,url
4030001,S,CCTV-N1-S-251.450-M,10010,23.602054596,0111,120.435256959,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=373
4030002,S,CCTV-N1-S-255.800-M,10010,23.5652771,0,120.419998169,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=1
4030003,S,CCTV-N1-S-257.075-M,10010,23.556865693,0111,120.416999817,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=25
4030005,S,CCTV-N1-S-257.100-L,10010,23.553796769,0,120.414787293,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=27
4030006,S,CCTV-N1-S-262.005-M,10010,23.514448166,0421,120.403572083,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=375
4030007,S,CCTV-N1-S-262.400-M,10010,0.0,0,0.0,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=10
4030008,S,CCTV-N1-S-264.245-L,10010,23.495334626,0421,120.390785218,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=364
4030009,S,CCTV-N1-S-265.410-M,10010,23.486387253,0,120.384719849,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=4
4030010,S,CCTV-N1-S-274.784-M,10010,23.410636902,0117,120.354629517,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=377
4030011,S,CCTV-N1-S-275.100-M,10010,23.40436554,0117,120.354804993,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=337
4030012,S,CCTV-N1-S-278.988-M,10010,23.373420716,0117,120.350845337,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=378
4030013,S,CCTV-N1-S-280.700-M,10010,23.358333588,0,120.33833313,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=31
4030014,S,CCTV-N1-S-282.700-M,10010,23.348230362,0,120.322860718,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=39
4030015,S,CCTV-N1-S-284.200-M,10010,23.340030671,0,120.312065125,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=40
4030016,S,CCTV-N1-S-284.200-R,10010,23.340028763,0121,120.311889649,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=210
4030017,S,CCTV-N1-S-285.000-M,10010,0.0,0,0.0,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=29
4030018,S,CCTV-N1-S-286.500-M,10010,23.337747574,0,120.309890748,1,https://cctvs.freeway.gov.tw/live-view/mjpg/video.cgi?camera=41
